# HJD    Flux    Flux_err
7082.70407407    1.00383    0.00712
7082.70438657    0.98935    0.00725
7082.70469907    0.99228    0.00716
7082.70501157    0.99213    0.00689
7082.70532407    0.99726    0.00699
7082.70564815    0.99104    0.00723
7082.70596065    0.99216    0.00704
7082.70627315    0.99867    0.00682
7082.70658565    0.99443    0.00722
7082.70689815    0.99753    0.00690
7082.70721065    0.98853    0.00797
7082.70752315    0.99326    0.00717
7082.70783565    0.96813    0.00876
7082.70814815    0.98773    0.00738
7082.70846065    1.00702    0.00708
7082.70877315    0.99165    0.00704
7082.70908565    0.98924    0.00717
7082.70939815    0.98800    0.00712
7082.70971065    0.99399    0.00707
7082.71003472    0.99479    0.00712
7082.71034722    0.97701    0.00743
7082.71065972    0.98670    0.00720
7082.71097222    1.00671    0.00733
7082.71128472    0.98753    0.00746
7082.71159722    0.99232    0.00730
7082.71190972    0.99756    0.00700
7082.71222222    0.99439    0.00686
7082.71253472    1.00009    0.00707
7082.71284722    0.99045    0.00723
7082.71315972    0.99603    0.00718
7082.71347222    0.98936    0.00705
7082.71378472    0.98998    0.00706
7082.71409722    0.99077    0.00721
7082.71440972    0.99108    0.00735
7082.71472222    0.99966    0.00710
7082.71504630    0.99443    0.00716
7082.71535880    0.99787    0.00718
7082.71567130    0.98823    0.00747
7082.71598380    1.00287    0.00681
7082.71629630    0.99580    0.00697
7082.71660880    0.98032    0.00765
7082.71692130    0.99706    0.00708
7082.71723380    0.99125    0.00718
7082.71754630    0.98932    0.00755
7082.71817130    0.99440    0.00725
7082.71848380    0.98467    0.00767
7082.71879630    0.99868    0.00721
7082.71942130    0.99551    0.00713
7082.72005787    0.98365    0.00758
7082.72037037    0.99195    0.00702
7082.72068287    0.98863    0.00742
7082.72099537    0.99014    0.00700
7082.72130787    0.98539    0.00698
7082.72162037    0.99306    0.00795
7082.72193287    0.99312    0.00707
7082.72224537    0.98717    0.00705
7082.72255787    0.99270    0.00701
7082.72287037    1.00047    0.00715
7082.72318287    1.00011    0.00725
7082.72349537    0.99260    0.00721
7082.72380787    0.99834    0.00693
7082.72412037    0.98321    0.00715
7082.72443287    0.98872    0.00706
7082.72475694    0.99219    0.00695
7082.72506944    0.98637    0.00722
7082.72538194    1.00953    0.00691
7082.72600694    0.99204    0.00702
7082.72631944    0.99139    0.00713
7082.72663194    0.99579    0.00710
7082.72694444    0.98118    0.00730
7082.72725694    1.00455    0.00694
7082.72756944    0.97936    0.00760
7082.72788194    0.99741    0.00699
7082.72850694    0.98003    0.00727
7082.72881944    1.00224    0.00692
7082.72914352    0.99233    0.00779
7082.72945602    0.99894    0.00695
7082.72976852    0.98784    0.00749
7082.73008102    0.99439    0.00703
7082.73039352    1.00211    0.00732
7082.73070602    0.99224    0.00709
7082.73101852    0.99638    0.00708
7082.73133102    0.99553    0.00743
7082.73164352    0.99254    0.00716
7082.73195602    1.00524    0.00695
7082.73226852    0.99023    0.00761
7082.73258102    0.99521    0.00712
7082.73289352    1.00387    0.00694
7082.73320602    0.99571    0.00742
7082.73351852    0.99427    0.00730
7082.73383102    0.99709    0.00711
7082.73415509    0.99795    0.00734
7082.73446759    0.99723    0.00718
7082.73478009    0.98990    0.00714
7082.73509259    0.98871    0.00737
7082.73540509    0.99531    0.00743
7082.73571759    1.00390    0.00724
7082.73603009    0.98874    0.00722
7082.73634259    0.99700    0.00729
7082.73665509    0.98226    0.00741
7082.73696759    0.99130    0.00742
7082.73728009    0.99075    0.00748
7082.73759259    0.98388    0.00723
7082.73790509    0.98869    0.00731
7082.73821759    1.00050    0.00717
7082.73853009    0.99800    0.00721
7082.73885417    0.99073    0.00729
7082.73916667    0.99474    0.00703
7082.73947917    0.99627    0.00737
7082.73979167    1.00326    0.00732
7082.74010417    0.99714    0.00729
7082.74041667    0.99424    0.00713
7082.74072917    0.99510    0.00722
7082.74104167    0.99160    0.00724
7082.74135417    0.99672    0.00727
7082.74166667    0.99250    0.00730
7082.74197917    0.99213    0.00729
7082.74229167    0.99444    0.00730
7082.74260417    0.99903    0.00720
7082.74291667    0.99332    0.00728
7082.74322917    0.98903    0.00745
7082.74354167    0.99083    0.00760
7082.74386574    1.00416    0.00710
7082.74417824    0.99042    0.00724
7082.74449074    0.99281    0.00722
7082.74480324    0.98327    0.00749
7082.74511574    0.99871    0.00750
7082.74542824    0.98624    0.00740
7082.74574074    0.99476    0.00725
7082.74605324    1.00998    0.00717
7082.74636574    0.99674    0.00742
7082.74667824    0.98901    0.00745
7082.74699074    0.99367    0.00720
7082.74730324    0.98217    0.00740
7082.74761574    0.99378    0.00732
7082.74792824    0.99958    0.00725
7082.74824074    0.99056    0.00737
7082.74856481    0.99988    0.00710
7082.74887731    0.99031    0.00721
7082.74918982    0.99202    0.00759
7082.74950231    0.99964    0.00748
7082.74981481    0.98870    0.00721
